장애유형,차량구분,trip_count,fare_sum,fare_count,distance_m_sum,distance_count,request_to_dispatch_min_sum,request_to_dispatch_count,scheduled_to_pickup_min_sum,scheduled_to_pickup_count,ride_min_sum,ride_min_count,avg_fare,avg_distance_m,avg_distance_km,avg_request_to_dispatch_min,avg_scheduled_to_pickup_min,avg_ride_min
간장,임차택시,157,348500,157,1258275,157,2926.8159166666665,157,5206.0738,157,3886.4079,157,2219.7452229299365,8014.490445859873,8.014490445859874,18.64213959660297,33.15970573248408,24.754190445859873
간장,특장차,338,800300,338,3219823,338,9615.808566666667,338,12475.658816666666,338,9118.383016666667,338,2367.751479289941,9526.103550295858,9.526103550295858,28.449137771203155,36.91023318540434,26.977464546351086
국가,임차택시,802,2796900,802,14584461,802,50988.948983333335,802,22909.049216666666,802,31441.506166666666,802,3487.406483790524,18185.113466334165,18.185113466334165,63.57724312136326,28.564899272651704,39.203873025768914
국가,특장차,1426,4306200,1426,21877233,1426,123010.26125,1426,49553.18185,1426,54736.79375,1426,3019.7755960729314,15341.67812061711,15.341678120617111,86.26245529453016,34.74977689340813,38.38484835203366
뇌병,임차택시,155317,352562040,155317,1169242257,155317,8107266.892966666,155317,5080985.931333333,155317,3664316.4107833332,155317,2269.951389738406,7528.102248948924,7.528102248948924,52.19819397082526,32.71364970565575,23.592500568407406
뇌병,특장차,584992,1303695440,584992,4812922348,584992,61745408.49493334,584992,22753888.718416665,584992,15099681.011366667,584992,2228.5696898419123,8227.330199387343,8.227330199387342,105.5491502361286,38.89606818284124,25.811773513768852
뇌전,임차택시,2,3700,2,11968,2,33.29745,2,62.861783333333335,2,50.5821,2,1850.0,5984.0,5.984,16.648725,31.430891666666668,25.29105
뇌전,특장차,35,87000,35,391819,35,734.12705,35,1482.0976666666666,35,1211.78655,35,2485.714285714286,11194.828571428572,11.194828571428571,20.975058571428573,42.34564761904762,34.62247285714286
시각,임차택시,1264,2859200,1264,8109800,1264,24143.913366666668,1264,39869.98493333333,1264,26526.4119,1264,2262.025316455696,6415.981012658228,6.415981012658228,19.101197283755276,31.54270959915612,20.98608536392405
시각,특장차,5260,10845400,5260,36944526,5260,166881.66936666667,5260,198711.51243333332,5260,118695.19911666667,5260,2061.8631178707224,7023.674144486692,7.023674144486692,31.726553111533587,37.7778540747782,22.56562720849176
신장,임차택시,17741,33779600,17741,75970091,17741,649060.50545,17741,557371.2310166666,17741,276710.02283333335,17741,1904.041485823798,4282.17637111775,4.28217637111775,36.585339352347674,31.417125923942653,15.59720550325987
신장,특장차,64714,119721760,64714,333257718,64714,3063370.15625,64714,2340863.6569,64714,1162451.1374166666,64714,1850.013289241895,5149.700497573941,5.149700497573941,47.3370546751862,36.17244579070989,17.962900414387406
심장,임차택시,66,211400,66,1268711,66,1231.5448666666666,66,2537.6210833333334,66,2977.7067,66,3203.030303030303,19222.89393939394,19.22289393939394,18.659770707070706,38.448804292929296,45.11676818181819
심장,특장차,204,571700,204,3179503,204,16206.715683333334,204,9296.609483333334,204,7992.423666666667,204,2802.450980392157,15585.799019607843,15.585799019607842,79.44468472222222,45.571615114379085,39.17854738562092
언어,임차택시,280,579200,280,1820519,280,6110.88055,280,7321.81305,280,6154.2747,280,2068.5714285714284,6501.853571428572,6.501853571428572,21.824573392857143,26.14933232142857,21.9795525
언어,특장차,1200,2518700,1200,8687988,1200,35034.398583333335,1200,44870.3171,1200,27924.763683333334,1200,2098.9166666666665,7239.99,7.23999,29.19533215277778,37.39193091666667,23.27063640277778
없음,임차택시,11,22900,11,72967,11,266.37553333333335,11,423.8699833333333,11,252.6766333333333,11,2081.818181818182,6633.363636363636,6.633363636363636,24.215957575757578,38.533634848484844,22.970603030303028
없음,특장차,59,194100,59,1107746,59,8512.608116666666,59,2671.1718333333333,59,2513.1137833333332,59,3289.830508474576,18775.35593220339,18.77535593220339,144.28149350282484,45.2740988700565,42.5951488700565
외국,임차택시,205,532900,205,2098316,205,3647.3678,205,6654.938566666667,205,6403.1988,205,2599.512195121951,10235.687804878049,10.235687804878049,17.792038048780487,32.463114959349596,31.235116097560976
외국,특장차,1590,4140700,1590,19069963,1590,48409.02368333333,1590,70508.56676666667,1590,52735.67928333333,1590,2604.2138364779876,11993.687421383647,11.993687421383648,30.44592684486373,44.34501054507338,33.167093888888886
일시,임차택시,1104,3011500,1104,12640832,1104,18329.932616666665,1104,36215.1325,1104,35826.1812,1104,2727.807971014493,11450.028985507246,11.450028985507245,16.603199833937197,32.80356204710145,32.45125108695652
일시,특장차,4763,13058000,4763,62206169,4763,104848.94478333333,4763,191599.0475,4763,178388.82318333333,4763,2741.5494436279655,13060.291622926727,13.060291622926727,22.013215364966054,40.22654786899013,37.45303866960599
자폐,임차택시,15139,32731800,15139,114947554,15139,402603.25231666665,15139,562358.55435,15139,364649.8169833333,15139,2162.0846819472886,7592.810225246053,7.592810225246053,26.593781116101898,37.146347470110314,24.086783604157034
자폐,특장차,37254,84001980,37254,332727878,37254,1449945.5184833333,37254,1513836.0740166667,37254,978679.4335833334,37254,2254.8445804477374,8931.332957534762,8.931332957534762,38.92053251955047,40.63553105751508,26.270452396610658
장루,임차택시,3,9800,3,45592,3,100.40305,3,161.22036666666665,3,111.27996666666667,3,3266.6666666666665,15197.333333333334,15.197333333333335,33.46768333333333,53.74012222222222,37.09332222222222
장루,특장차,30,103900,30,608968,30,6090.245233333333,30,1478.98565,30,1305.76355,30,3463.3333333333335,20298.933333333334,20.298933333333334,203.00817444444445,49.29952166666667,43.52545166666666
정신,임차택시,441,1162400,441,4477000,441,7048.49805,441,10639.55115,441,11164.60745,441,2635.827664399093,10151.927437641723,10.151927437641723,15.982988775510204,24.125966326530612,25.316570181405893
정신,특장차,1760,4790300,1760,24141876,1760,58531.765400000004,1760,55099.321383333336,1760,55056.07513333333,1760,2721.7613636363635,13716.975,13.716975,33.25668488636364,31.30643260416667,31.28186087121212
지적,임차택시,22333,52042900,22333,197257437,22333,653634.0206,22333,803962.54325,22333,582032.1700666667,22333,2330.3138852818697,8832.554381408678,8.832554381408677,29.26763178256392,35.99886012850938,26.061530921357036
지적,특장차,61299,137314180,61299,520779627,61299,2440985.2020666664,61299,2528742.20255,61299,1593638.646,61299,2240.0721055808413,8495.727940096902,8.495727940096902,39.82096285529399,41.252584912478184,25.997791905251308
지체,임차택시,98295,238286700,98295,851871390,98295,6885537.972183334,98295,3214450.4874833333,98295,2575556.3970666667,98295,2424.1996032351594,8666.477338623532,8.666477338623531,70.04972757702156,32.702075257981924,26.20231341438188
지체,특장차,401743,967524880,401743,3950476196,401743,48970545.474633336,401743,15972396.158033334,401743,11666787.877166666,401743,2408.317954513209,9833.341703526881,9.833341703526882,121.89520532936065,39.75774601681506,29.04042603646278
청각,임차택시,55,112400,55,383321,55,761.1682,55,1529.2263333333333,55,1180.8081666666667,55,2043.6363636363637,6969.472727272727,6.969472727272727,13.839421818181817,27.804115151515152,21.469239393939393
청각,특장차,189,426500,189,1593580,189,3573.8500166666668,189,6348.830933333334,189,4923.68,189,2256.613756613757,8431.640211640211,8.431640211640211,18.90925934744268,33.59169805996473,26.05121693121693
호흡,임차택시,908,2674100,908,11777891,908,35536.4572,908,29451.7265,908,32096.514066666667,908,2945.0440528634363,12971.245594713657,12.971245594713658,39.13706740088105,32.43582213656388,35.34858377386197
호흡,특장차,2345,6359600,2345,28822190,2345,98093.61031666667,2345,98957.9154,2345,85423.1971,2345,2711.9829424307036,12290.912579957356,12.290912579957356,41.830963887704335,42.19953748400853,36.42780260127932
